#{"t_start": 1707831901.2310736, "env_id": "ALE/Assault-v5"}
r,l,t
168.0,814,0.880136
147.0,598,1.133765
273.0,1089,1.627505
231.0,1423,2.332722
210.0,975,2.740602
105.0,575,2.984589
378.0,927,3.374732
210.0,727,3.678671
294.0,1423,4.277263
126.0,929,4.670653
189.0,1343,5.23398
63.0,289,5.355939
273.0,801,5.693197
189.0,961,6.099393
210.0,1447,6.70117
189.0,1094,7.158168
420.0,1662,7.856763
189.0,1270,8.392592
147.0,897,8.770545
294.0,1376,9.348223
273.0,1423,9.947031
126.0,897,10.327292
210.0,1087,10.790517
210.0,993,11.205259
294.0,1398,11.796126
189.0,641,12.066697
105.0,705,12.376975
147.0,737,12.68753
189.0,833,13.039218
378.0,1399,13.630911
147.0,983,14.044263
84.0,703,14.34066
189.0,1087,14.802064
231.0,1153,15.287449
63.0,673,15.57323
399.0,1601,16.25127
168.0,1249,16.780135
147.0,623,17.044905
252.0,974,17.455572
189.0,1601,18.129171
168.0,815,18.473263
147.0,769,18.795887
273.0,1088,19.250907
126.0,865,19.612902
336.0,1670,20.31265
252.0,1335,20.86838
336.0,894,21.24482
147.0,1103,21.708347
273.0,926,22.096888
399.0,1543,22.745005
189.0,647,23.016103
252.0,1312,23.56215
189.0,801,23.898021
168.0,513,24.113387
189.0,801,24.449796
189.0,865,24.810997
189.0,961,25.21374
168.0,961,25.615771
168.0,577,25.857629
126.0,865,26.220569
168.0,671,26.503558
210.0,886,26.875077
189.0,935,27.268069
189.0,671,27.552369
168.0,1025,27.982335
210.0,895,28.357819
273.0,1119,28.827236
378.0,1230,29.346184
252.0,983,29.754974
189.0,1455,30.362005
105.0,449,30.550224
147.0,1094,31.009139
273.0,992,31.420943
189.0,961,31.822086
294.0,1409,32.414543
273.0,929,32.803601
168.0,726,33.110319
252.0,1025,33.541504
231.0,897,33.915672
168.0,975,34.325165
189.0,1006,34.746494
189.0,1409,35.332768
189.0,929,35.721826
210.0,832,36.070334
231.0,1118,36.538915
231.0,1391,37.116768
42.0,641,37.387448
105.0,727,37.69272
168.0,865,38.055701
189.0,1126,38.529306
147.0,671,38.811116
252.0,1206,39.316628
189.0,1039,39.752033
441.0,1223,40.26767
315.0,1313,40.816802
84.0,470,41.011708
210.0,1335,41.569479
189.0,609,41.824814
189.0,966,42.231259
147.0,615,42.489896
189.0,1078,42.942141
105.0,545,43.170805
168.0,737,43.482324
252.0,1025,43.913196
105.0,559,44.148164
168.0,767,44.471883
189.0,833,44.820923
189.0,919,45.207201
189.0,1185,45.703731
189.0,1153,46.186466
357.0,1310,46.737417
210.0,1007,47.157323
126.0,598,47.41043
231.0,1280,47.946599
210.0,1377,48.522872
210.0,903,48.897386
189.0,929,49.28748
231.0,929,49.673796
210.0,1039,50.104547
420.0,1278,50.638578
336.0,1087,51.094876
357.0,1359,51.664934
231.0,991,52.076535
168.0,449,52.264234
231.0,934,52.66
168.0,929,53.048481
315.0,1622,53.728145
63.0,353,53.875041
168.0,1025,54.30813
189.0,1055,54.748542
189.0,833,55.097422
189.0,751,55.41051
231.0,990,55.831284
231.0,1015,56.26095
189.0,737,56.568654
84.0,590,56.814081
147.0,694,57.102688
336.0,1505,57.735071
147.0,1334,58.294537
168.0,767,58.618131
189.0,774,58.943563
210.0,878,59.311035
231.0,1479,59.930472
189.0,974,60.337248
357.0,1143,60.816588
252.0,1239,61.333809
189.0,854,61.69371
273.0,1070,62.141991
210.0,934,62.534207
210.0,769,62.858714
189.0,929,63.249962
189.0,806,63.588633
273.0,766,63.910918
189.0,982,64.322521
189.0,943,64.740161
147.0,961,65.145629
189.0,1055,65.59306
84.0,822,65.940991
294.0,1647,66.635953
357.0,2118,67.531661
315.0,1223,68.052766
189.0,735,68.362623
126.0,662,68.643477
231.0,958,69.048486
231.0,862,69.416129
189.0,577,69.658453
189.0,1055,70.105929
105.0,663,70.387726
336.0,1055,70.832824
189.0,2081,71.72069
294.0,1383,72.373336
378.0,1089,72.839018
84.0,606,73.096348
294.0,1551,73.761546
189.0,1503,74.398295
168.0,801,74.739202
189.0,1182,75.241379
231.0,961,75.649246
189.0,1143,76.134753
420.0,1558,76.795171
231.0,871,77.165011
168.0,1121,77.646007
147.0,929,78.043914
231.0,1216,78.559179
294.0,1249,79.091203
189.0,895,79.470278
168.0,1087,79.937993
168.0,622,80.203311
168.0,769,80.530594
252.0,898,80.91141
315.0,1270,81.453639
231.0,1254,81.983715
210.0,672,82.268559
168.0,833,82.62554
231.0,800,82.966696
168.0,641,83.238868
273.0,1479,83.868858
273.0,1455,84.484553
252.0,1409,85.080642
273.0,1207,85.594379
168.0,654,85.873491
168.0,686,86.163305
210.0,927,86.552919
147.0,671,86.837809
378.0,1249,87.366256
189.0,1143,87.855247
294.0,1281,88.398064
273.0,1153,88.889298
273.0,1247,89.419788
126.0,758,89.742988
189.0,991,90.166047
189.0,1089,90.624422
189.0,726,90.934505
189.0,1038,91.373475
189.0,1255,91.906089
231.0,1031,92.342315
231.0,1279,92.883711
315.0,1263,93.414413
315.0,1215,93.930197
252.0,1039,94.371369
273.0,928,94.766183
252.0,1487,95.393894
231.0,1312,95.954493
147.0,854,96.316407
231.0,928,96.711634
273.0,1185,97.211655
189.0,703,97.50844
294.0,1270,98.045077
168.0,863,98.407098
210.0,1025,98.841415
273.0,1153,99.333669
273.0,1313,99.890602
189.0,1319,100.446748
189.0,847,100.806184
231.0,1248,101.332187
189.0,1025,101.764146
147.0,353,101.912771
168.0,897,102.291676
210.0,1153,102.781243
252.0,751,103.105257
105.0,673,103.391366
378.0,1186,103.892759
378.0,1505,104.537654
189.0,743,104.852308
315.0,1102,105.32088
231.0,1121,105.795389
168.0,911,106.181154
168.0,807,106.525475
147.0,1367,107.107658
315.0,1376,107.688179
84.0,959,108.099933
252.0,1622,108.783757
189.0,1150,109.270725
168.0,1311,109.823606
168.0,734,110.134387
273.0,1703,110.855403
168.0,1230,111.376235
357.0,1217,111.894339
105.0,791,112.230209
189.0,759,112.548713
168.0,833,112.902921
168.0,575,113.147964
126.0,943,113.548552
210.0,1159,114.041635
168.0,929,114.43418
210.0,974,114.849239
231.0,999,115.272725
336.0,1185,115.773821
273.0,1574,116.440935
315.0,832,116.791509
189.0,831,117.147193
210.0,1007,117.571502
147.0,1014,118.036272
231.0,1095,118.597591
126.0,767,118.92246
189.0,1055,119.367475
126.0,615,119.629173
126.0,630,119.899142
189.0,975,120.310066
189.0,1185,120.811958
147.0,993,121.235165
420.0,1443,121.847363
273.0,1487,122.476605
189.0,1057,122.928985
147.0,737,123.240799
168.0,641,123.511961
210.0,1247,124.039596
273.0,1761,124.784065
294.0,1286,125.328384
210.0,1031,125.76518
168.0,705,126.062768
231.0,1063,126.513915
231.0,1185,127.016911
336.0,1247,127.540867
231.0,1057,127.993007
168.0,879,128.366909
126.0,647,128.642103
336.0,1054,129.089247
189.0,705,129.393424
210.0,950,129.796458
189.0,769,130.122437
252.0,1055,130.568915
273.0,1631,131.260395
210.0,1473,131.886977
189.0,865,132.254356
84.0,513,132.470962
210.0,1031,132.906177
273.0,959,133.313693
210.0,1527,133.965576
315.0,1249,134.495927
273.0,1254,135.026917
168.0,1559,135.687573
294.0,1281,136.235797
147.0,1159,136.726895
294.0,1271,137.266433
105.0,591,137.517591
168.0,662,137.798679
189.0,926,138.192545
357.0,1505,138.830847
105.0,705,139.130707
210.0,672,139.414152
105.0,727,139.722984
210.0,774,140.05196
231.0,1346,140.62299
252.0,1214,141.137326
189.0,1335,141.697757
189.0,638,141.970877
210.0,1207,142.481102
105.0,742,142.79442
189.0,1094,143.258655
210.0,1015,143.688221
210.0,768,144.012508
378.0,1735,144.751985
189.0,751,145.070018
294.0,1543,145.724828
378.0,1535,146.373993
189.0,1151,146.860949
294.0,1312,147.415724
189.0,1055,147.858888
315.0,911,148.24744
189.0,1121,148.723184
252.0,943,149.125347
189.0,801,149.464268
189.0,895,149.845849
231.0,1119,150.320357
357.0,1120,150.795214
315.0,1280,151.342597
168.0,1094,151.805095
252.0,1186,152.304962
252.0,1153,152.793599
189.0,641,153.065837
126.0,993,153.490055
336.0,1249,154.018731
126.0,623,154.282767
252.0,1191,154.784105
189.0,705,155.08287
252.0,1056,155.533196
147.0,966,155.941543
189.0,822,156.291208
336.0,1207,156.803571
168.0,798,157.141666
126.0,545,157.372457
189.0,863,157.736476
168.0,1351,158.312951
294.0,1174,158.80786
189.0,1375,159.389465
231.0,1120,159.863645
147.0,639,160.134585
147.0,494,160.345899
210.0,1151,160.830111
210.0,1230,161.351508
420.0,1486,161.978773
105.0,823,162.325466
84.0,558,162.560336
189.0,727,162.867144
189.0,1046,163.310759
189.0,1422,163.911634
252.0,815,164.25938
189.0,878,164.631608
210.0,1535,165.280466
189.0,1318,165.83731
399.0,1537,166.482193
126.0,799,166.82003
189.0,1121,167.293821
189.0,870,167.66004
189.0,1057,168.106621
315.0,1249,168.638064
126.0,647,168.910758
189.0,1247,169.438197
84.0,353,169.589292
189.0,705,169.892912
315.0,1222,170.411725
147.0,417,170.588795
231.0,1095,171.053794
210.0,927,171.446477
252.0,1070,171.901273
126.0,385,172.065204
231.0,751,172.38467
168.0,769,172.710842
189.0,1039,173.151575
315.0,1095,173.618607
147.0,545,173.851587
126.0,902,174.237795
231.0,1158,174.727635
168.0,1158,175.220219
84.0,719,175.52614
168.0,577,175.769655
168.0,854,176.132154
231.0,975,176.54593
210.0,641,176.814893
126.0,559,177.051006
378.0,1281,177.592419
189.0,759,177.913054
105.0,463,178.109492
378.0,1190,178.616519
189.0,897,178.994648
231.0,686,179.287222
231.0,929,179.680541
252.0,1158,182.554421
105.0,686,182.845582
189.0,727,183.149016
189.0,1505,183.775913
210.0,1374,184.351513
105.0,895,184.725531
252.0,1121,185.194602
189.0,982,185.607136
231.0,991,186.022377
210.0,1174,186.516268
84.0,769,186.839747
210.0,1246,187.360639
189.0,847,187.71315
252.0,993,188.126112
147.0,999,188.546282
231.0,1248,189.067993
252.0,1535,189.709207
147.0,943,190.105642
105.0,855,190.46403
84.0,350,190.610927
273.0,1111,191.073521
210.0,1367,191.64168
63.0,577,191.883183
315.0,1191,192.378677
168.0,775,192.704689
126.0,751,193.017403
147.0,855,193.376428
210.0,1215,193.885457
189.0,609,194.141292
273.0,993,194.555609
378.0,943,194.952084
294.0,1071,195.402359
231.0,1134,195.907825
147.0,983,196.317292
189.0,1153,196.804936
294.0,1198,197.305573
252.0,1031,197.734811
294.0,992,198.15095
168.0,487,198.355505
231.0,831,198.701921
210.0,961,199.102266
105.0,654,199.378164
231.0,1166,199.869413
336.0,1047,200.307597
189.0,743,200.620445
189.0,1135,201.092922
210.0,1191,201.587479
315.0,1239,202.105596
189.0,998,202.524864
189.0,895,202.89622
252.0,1367,203.46436
294.0,1294,204.009332
210.0,1159,204.491038
231.0,1025,204.91662
231.0,1024,205.345831
147.0,865,205.706786
273.0,992,206.120591
336.0,1729,206.840757
105.0,673,207.120027
147.0,705,207.415214
189.0,1185,207.908229
231.0,961,208.304344
399.0,1793,209.056897
126.0,801,209.401744
63.0,342,209.544044
378.0,1799,210.299604
273.0,1215,210.806387
189.0,1158,211.28824
168.0,774,211.61421
189.0,705,211.908161
189.0,1166,212.391065
168.0,967,212.796354
147.0,846,213.148517
231.0,1279,213.684067
189.0,943,214.077065
231.0,1183,214.571106
357.0,1217,215.078221
210.0,961,215.477754
252.0,1409,216.064353
189.0,1025,216.49061
168.0,815,216.829864
189.0,993,217.243114
210.0,1238,217.762233
189.0,1087,218.2155
252.0,1057,218.655958
189.0,1199,219.159772
105.0,607,219.412689
168.0,599,219.661438
105.0,545,219.891892
210.0,1182,220.380898
189.0,863,220.739873
189.0,1095,221.192092
189.0,1047,221.625839
126.0,673,221.906296
273.0,758,222.221728
252.0,896,222.593752
105.0,687,222.882239
168.0,999,223.2962
336.0,1366,223.880929
273.0,1191,224.380537
126.0,801,224.714567
84.0,751,225.029035
336.0,1185,225.525451
105.0,815,225.868564
357.0,993,226.290838
126.0,1119,226.757638
105.0,655,227.030292
105.0,870,227.3935
231.0,1569,228.046254
126.0,1007,228.470167
315.0,1263,228.999786
105.0,687,229.286937
252.0,1566,229.939141
231.0,609,230.189754
168.0,759,230.508574
378.0,1399,231.094456
189.0,673,231.37671
231.0,1089,231.830334
273.0,822,232.173839
126.0,879,232.543894
189.0,1217,233.052523
315.0,1143,233.527874
210.0,1057,234.042314
273.0,1346,234.654236
357.0,1185,235.153985
294.0,887,235.526732
189.0,1313,236.074799
273.0,999,236.492749
294.0,1030,236.940939
189.0,897,237.311071
252.0,646,237.581447
336.0,1446,238.187768
168.0,1047,238.626373
126.0,673,238.908083
273.0,1230,239.421616
231.0,815,239.763572
147.0,679,240.04766
168.0,1039,240.483817
42.0,577,240.725111
189.0,993,241.141481
168.0,758,241.458169
231.0,1215,241.963634
105.0,894,242.337261
168.0,993,242.751378
147.0,1063,243.19911
147.0,743,243.510677
189.0,942,243.908194
42.0,673,244.189246
399.0,1377,244.767652
147.0,823,245.112749
189.0,1071,245.557017
189.0,929,245.942572
189.0,1215,246.447345
189.0,897,246.823981
231.0,1063,247.265903
84.0,646,247.534258
210.0,1150,248.011418
84.0,919,248.403794
294.0,1639,249.100543
168.0,655,249.381871
84.0,719,249.679754
189.0,655,249.952908
147.0,1151,250.448267
189.0,1025,250.879891
168.0,705,251.179877
252.0,911,251.561862
189.0,801,251.896355
273.0,1216,252.40176
294.0,1441,253.023232
168.0,1078,253.481284
273.0,1313,254.029406
294.0,1807,254.781911
231.0,1335,255.354776
189.0,1153,255.834449
168.0,1121,256.301312
189.0,1399,256.895202
210.0,1207,257.401127
84.0,527,257.621807
189.0,1031,258.048988
189.0,783,258.374381
168.0,673,258.656925
294.0,1505,259.2844
126.0,609,259.539758
189.0,705,259.834512
147.0,769,260.156538
336.0,1071,260.604664
273.0,1119,261.078984
231.0,1441,261.678711
147.0,630,261.942647
357.0,1327,262.494301
168.0,737,262.802061
168.0,577,263.04169
189.0,1118,263.504889
210.0,959,263.903195
84.0,353,264.05268
336.0,1505,264.677026
168.0,655,264.956185
231.0,1198,265.458192
189.0,1121,265.92627
168.0,815,266.270496
189.0,479,266.470583
105.0,463,266.66161
273.0,1335,267.215975
252.0,1152,267.690882
105.0,638,267.959471
189.0,897,268.336735
294.0,1159,268.82001
168.0,799,269.174798
315.0,1511,269.806358
210.0,1472,270.423349
126.0,847,270.776365
294.0,865,271.139384
189.0,1249,271.661434
378.0,1415,272.254631
273.0,1056,272.708426
210.0,1071,273.15563
189.0,865,273.515946
168.0,998,273.932688
