#{"t_start": 1707832049.9345665, "env_id": "ALE/Centipede-v5"}
r,l,t
778.0,497,0.6524
2050.0,688,1.006258
1023.0,474,1.251433
2198.0,716,1.617799
2319.0,675,1.971746
3067.0,682,2.327919
1454.0,570,2.61815
3855.0,731,2.98658
466.0,449,3.218921
836.0,663,3.557878
804.0,509,3.816557
427.0,297,3.968465
676.0,722,4.342355
4440.0,942,4.819046
950.0,586,5.120161
653.0,555,5.404374
1705.0,577,5.698798
1358.0,394,5.902134
323.0,550,6.185188
1248.0,499,6.441377
2004.0,623,6.769472
195.0,501,7.030469
361.0,491,7.291877
707.0,781,7.693828
2701.0,621,8.012743
2798.0,693,8.36664
4275.0,718,8.734234
3981.0,1040,9.255016
4469.0,902,9.716197
709.0,653,10.047368
2470.0,649,10.379291
877.0,432,10.600399
1549.0,850,11.033657
1084.0,731,11.409673
528.0,496,11.664714
1031.0,630,11.988781
2138.0,568,12.285224
1885.0,698,12.646158
1162.0,564,12.937018
453.0,491,13.188216
2200.0,725,13.562967
1684.0,574,13.857308
1595.0,843,14.28651
197.0,360,14.469911
950.0,698,14.829146
1572.0,563,15.115625
1400.0,629,15.436131
358.0,546,15.715512
1600.0,748,16.097356
1871.0,554,16.383192
2511.0,851,16.816508
475.0,618,17.133215
3361.0,810,17.545887
1483.0,713,17.91293
721.0,512,18.176132
426.0,434,18.433841
1780.0,483,18.679867
1358.0,563,18.964913
655.0,491,19.218091
1153.0,693,19.572166
1584.0,745,19.960717
1920.0,587,20.26172
743.0,559,20.550323
2427.0,1006,21.058411
3201.0,722,21.430204
581.0,530,21.702512
3071.0,789,22.10356
1275.0,579,22.399376
327.0,338,22.569889
1248.0,433,22.797549
795.0,607,23.104261
1449.0,614,23.417965
4945.0,935,23.923722
2631.0,799,24.331284
1156.0,489,24.58131
1304.0,733,24.951952
1006.0,487,25.205076
958.0,560,25.494602
4259.0,1429,26.219634
1705.0,805,26.634189
523.0,338,26.807284
639.0,569,27.098496
1123.0,583,27.398518
5553.0,1154,27.984694
452.0,452,28.214234
1223.0,558,28.499965
1922.0,625,28.820282
1834.0,675,29.165408
1572.0,610,29.479837
3345.0,688,29.834073
1300.0,691,30.188008
2258.0,475,30.43322
555.0,417,30.647726
1796.0,761,31.037721
2460.0,626,31.359388
2016.0,791,31.76214
3686.0,744,32.144126
1872.0,690,32.497231
736.0,616,32.810252
480.0,498,33.06664
4172.0,681,33.413764
2609.0,774,33.806597
1598.0,715,34.174686
457.0,449,34.406189
1486.0,629,34.723108
4486.0,740,35.104277
3351.0,691,35.457655
2226.0,741,35.837492
737.0,528,36.108509
737.0,719,36.479784
3415.0,716,36.845444
485.0,662,37.183133
3698.0,666,37.522709
3080.0,626,37.842492
2453.0,908,38.303284
633.0,450,38.532647
1259.0,658,38.870249
1650.0,747,39.247865
1383.0,519,39.513278
1332.0,744,39.890865
691.0,573,40.187633
931.0,561,40.477375
2371.0,811,40.885036
1599.0,493,41.134052
713.0,654,41.470007
1990.0,643,41.791838
1977.0,770,42.185419
1354.0,618,42.500488
2288.0,627,42.819184
1885.0,613,43.131493
3491.0,691,43.490427
844.0,412,43.698047
2375.0,700,44.055121
1775.0,841,44.48376
330.0,584,44.796384
332.0,625,45.114033
4099.0,718,45.479986
655.0,479,45.723049
1485.0,611,46.034747
4309.0,687,46.378397
1457.0,470,46.618878
214.0,391,46.820504
1378.0,615,47.137305
3895.0,827,47.559167
1596.0,573,47.851508
1063.0,591,48.152531
858.0,697,48.511109
2468.0,616,48.824391
2228.0,637,49.151729
1975.0,521,49.418546
360.0,649,49.754456
1874.0,708,50.131889
2590.0,723,50.50218
2903.0,697,50.932942
737.0,481,51.183321
711.0,703,51.614455
527.0,354,51.802079
1430.0,631,52.133885
762.0,690,52.499211
552.0,503,52.762321
2847.0,745,53.149583
1769.0,674,53.499814
533.0,554,53.78808
1945.0,816,54.309497
1587.0,539,54.637999
1544.0,503,54.935991
1167.0,644,55.279764
1678.0,669,55.631396
1244.0,687,56.000601
1473.0,751,56.402643
2879.0,689,56.928225
1879.0,506,57.195864
283.0,428,57.42754
1194.0,519,57.707786
3471.0,723,58.094536
1559.0,681,58.459554
1738.0,640,58.802911
1246.0,381,59.008954
347.0,371,59.207143
1252.0,703,59.580982
429.0,419,59.809013
1024.0,568,60.112683
577.0,597,60.537696
3213.0,628,60.96279
758.0,530,61.244192
3038.0,1047,61.810747
1518.0,582,62.186749
1999.0,913,62.856541
2174.0,873,63.463011
563.0,379,63.66461
2970.0,638,64.000907
852.0,530,64.279696
687.0,841,64.911874
2059.0,618,65.341448
1921.0,487,65.615767
310.0,396,65.826021
2603.0,519,66.10308
1384.0,484,66.361464
312.0,409,66.623011
1464.0,444,66.894155
543.0,307,67.168925
1440.0,514,67.44826
1854.0,595,67.763946
1344.0,460,68.004386
1334.0,647,68.354451
2873.0,758,68.757881
1631.0,621,69.088512
1005.0,711,69.46086
1704.0,654,69.802698
485.0,674,70.164666
194.0,388,70.371958
1623.0,822,70.804946
784.0,587,71.112176
2990.0,761,71.515304
522.0,370,71.711985
1669.0,744,72.100014
2047.0,762,72.506972
3994.0,807,72.937835
1295.0,582,73.24683
1125.0,676,73.60647
508.0,802,74.035347
4073.0,635,74.369355
1979.0,684,74.731957
1509.0,440,74.966873
498.0,430,75.19519
1877.0,684,75.564059
1696.0,606,75.880393
193.0,406,76.093754
2443.0,761,76.499249
1683.0,807,76.929726
1591.0,604,77.243592
1453.0,712,77.757215
860.0,612,78.200891
1193.0,629,78.668352
2270.0,597,78.981159
1808.0,661,79.328752
2266.0,738,79.719748
1027.0,499,79.986136
590.0,562,80.280006
1254.0,544,80.565117
1310.0,678,80.926017
3950.0,833,81.363306
1299.0,599,81.680036
297.0,352,81.865372
1154.0,396,82.074718
1889.0,563,82.376017
1122.0,862,82.834291
1388.0,757,83.434831
3384.0,816,84.076936
3567.0,807,84.607089
1742.0,632,84.944505
774.0,549,85.240193
4854.0,1083,85.809686
318.0,638,86.158152
1974.0,587,86.600118
1843.0,602,86.914063
1029.0,550,87.205015
1369.0,751,87.601962
889.0,500,87.867155
3197.0,447,88.101372
1322.0,712,88.478089
625.0,482,88.734121
880.0,639,89.071268
2556.0,559,89.364941
2167.0,737,89.806485
393.0,320,90.046396
2552.0,939,90.782521
1656.0,519,91.19939
1727.0,664,91.657166
1742.0,626,91.99393
1280.0,538,92.280899
1765.0,692,92.816492
419.0,576,93.131605
1044.0,626,93.469489
1981.0,839,93.922298
2269.0,650,94.268597
1456.0,461,94.528458
1054.0,561,94.865843
1641.0,531,95.26537
576.0,563,95.701098
1263.0,508,96.08114
2109.0,750,96.629675
5669.0,952,97.3394
2872.0,666,97.696784
1288.0,531,97.975511
1679.0,618,98.297827
